s,a,r,sp
6,1,0.5,5
5,1,0.5,4
4,1,1,2
2,1,0.5,1
1,4,-3.24,4
4,1,0.5,3
3,1,1,1
1,3,-2.16,3
3,1,0,3
3,1,0,3
3,1,0.5,2
2,1,0,2
2,1,0.5,1
1,4,-3.24,4
4,1,0,4
4,1,0.5,3
3,1,0.5,2
2,1,0.5,1
1,5,-4.32,5
5,1,1,3
3,1,0,3
3,1,0.5,2
2,1,0.5,1
1,4,-3.24,4
4,1,0.5,3
3,1,0,3
3,1,1,1
1,3,-2.16,3
3,1,0.5,2
2,1,0,2
2,1,0.5,1
1,4,-3.24,5
5,1,10.0,4
3,1,5.0,3
3,1,10.0,2
