s,a,r,sp
3,3,1,3
3,3,1,3
3,1,1,2
2,4,0.75,3
3,1,1,2
2,4,-1.25,3
3,3,0,5
5,1,1,4
4,4,0.75,5
5,2,1.75,3
3,4,1.25,3
3,5,0,4
4,3,1.5,3
3,4,0.75,4
4,3,0.5,3
3,5,0.5,5
5,2,1.75,3
3,5,1,4
4,4,0.75,5
5,3,1.5,4
4,2,1.75,2
2,6,-0.75,5
5,3,0.5,4
4,3,1.5,3
3,6,0.75,5
5,1,1.5,3
3,4,0.75,4
4,4,1.25,4
4,3,0.5,3
3,4,0.75,4
1,3,9.5,1
2,4,14.25,3
1,2,9.75,1
1,3,9.5,2
1,3,8.25,1
