s,a,r,sp
2,2,0.75,2
2,1,0.5,2
2,2,-0.25,2
2,1,0.5,2
2,2,0.75,2
2,1,0.5,2
2,2,0.75,2
2,1,1,1
1,2,-0.75,2
2,1,1,1
1,2,0.25,2
2,1,0,1
1,2,0.25,2
2,1,0.5,2
2,2,0.25,1
1,2,0.25,2
2,2,0.75,2
2,2,0.75,2
2,2,0.25,3
3,1,1,2
2,2,0.75,2
2,1,0,1
1,2,0.25,2
2,2,0.75,2
2,1,1,1
1,2,0.25,1
1,2,0.25,2
2,1,0.5,2
2,2,-0.75,1
1,2,0.25,2
2,1,0.8,1
1,2,4.16,2
2,1,-4.2,2
2,1,5.0,2
1,2,4.16,2
