s,a,r,sp
2,2,-0.77,1
1,1,0,1
1,2,-2.27,1
1,1,0,1
1,2,-1.27,1
1,3,-2.54,1
1,3,-2.54,1
1,1,0,1
1,3,-3.54,1
1,2,-1.27,1
1,1,0,1
1,1,-1,1
1,2,-1.27,1
1,2,-1.27,1
1,2,-1.27,1
1,1,0,1
1,2,-1.27,1
1,2,-1.27,1
1,2,-1.27,1
1,1,0,1
1,2,-1.27,1
1,1,-1,1
1,3,-3.54,1
1,1,0,1
1,2,-1.77,2
2,3,-3.04,3
3,2,-1.27,1
1,1,0,1
1,3,-3.54,1
1,1,0.5,1
1,2,1.305,1
3,1,-3.85,2
1,2,3.23,2
2,2,8.23,2
2,1,10.0,1
