s,a,r,sp
2,2,9.75,2
2,1,5,2
2,2,0.55,2
2,1,5,2
2,2,9.75,2
2,1,5,2
2,2,9.75,2
2,1,10,1
1,2,-4.45,2
2,1,10,1
1,2,4.75,2
2,1,0.8,1
1,2,4.75,2
2,1,5,2
2,2,4.75,1
1,2,4.75,2
2,2,9.75,2
2,2,9.75,2
2,2,4.75,3
3,1,10,2
2,2,9.75,2
2,1,0.8,1
1,2,4.75,2
2,2,9.75,2
2,1,10,1
1,2,4.75,1
1,2,4.75,2
2,1,5,2
2,2,-4.45,1
1,2,4.75,2
