s,a,r,sp
6,1,5,5
5,1,5,4
4,1,10,2
2,1,5,1
1,4,-0.75,4
4,1,5,3
3,1,10,1
1,3,-0.5,3
3,1,0,3
3,1,0,3
3,1,5,2
2,1,0,2
2,1,5,1
1,4,-0.75,4
4,1,0,4
4,1,5,3
3,1,5,2
2,1,5,1
1,5,-1,5
5,1,10,3
3,1,0,3
3,1,5,2
2,1,5,1
1,4,-0.75,4
4,1,5,3
3,1,0,3
3,1,10,1
1,3,-0.5,3
3,1,5,2
2,1,0,2
2,1,5,1
