s,a,r,sp
2,2,8.23,2
2,1,5,2
2,2,-5.62,2
2,1,5,2
2,2,8.23,2
2,3,11.46,2
2,3,11.46,2
2,1,10,1
1,3,-7.39,2
2,2,3.23,3
3,1,10,2
2,1,-3.85,1
1,2,3.23,2
2,2,8.23,2
2,2,3.23,3
3,1,10,2
2,2,8.23,2
2,2,8.23,2
2,2,3.23,3
3,1,10,2
2,2,8.23,2
2,1,-3.85,1
1,3,-7.39,2
2,1,5,2
2,2,13.23,1
1,3,1.46,3
3,2,-0.62,2
2,1,5,2
2,3,-7.39,3
3,1,10,2
