s,a,r,sp
3,1,0,1
1,3,-0.58,2
2,1,0.5,1
1,3,-0.58,2
2,2,0.46,1
1,4,-2.62,2
2,1,0,2
2,2,-0.54,3
3,1,0.5,2
2,4,-2.12,2
2,2,-0.04,2
2,3,-1.58,3
3,1,0.5,2
2,3,-0.58,3
3,2,-0.54,2
2,2,-0.54,3
3,1,0.5,2
2,3,-0.58,3
3,1,0.5,0
0,4,-1.12,2
2,1,0,2
2,2,-0.54,1
1,4,-1.62,2
2,1,0,2
2,1,0.5,1
1,3,-0.08,1
1,4,-0.62,2
2,3,-0.08,2
2,3,-0.58,1
1,2,0.46,0
